subid,n.types,timestamp,word.len,rt,keypress,correct
4d54ce66eb93332f4ea08676fc8bca6b,3,20-May-2007 15:22:25,4,0.8360000000000001,2,1
4d54ce66eb93332f4ea08676fc8bca6b,3,20-May-2007 15:22:30,6,0.9380000000000001,2,1
4d54ce66eb93332f4ea08676fc8bca6b,3,20-May-2007 15:22:34,4,0.803,2,1
4d54ce66eb93332f4ea08676fc8bca6b,3,20-May-2007 15:22:39,6,0.812,2,1
4d54ce66eb93332f4ea08676fc8bca6b,3,20-May-2007 15:22:44,8,0.609,2,1
4d54ce66eb93332f4ea08676fc8bca6b,3,20-May-2007 15:22:48,4,0.536,1,1
4d54ce66eb93332f4ea08676fc8bca6b,3,20-May-2007 15:22:53,8,0.62,1,1
4d54ce66eb93332f4ea08676fc8bca6b,3,20-May-2007 15:22:57,6,0.507,1,1
4d54ce66eb93332f4ea08676fc8bca6b,3,20-May-2007 15:23:01,4,1.091,1,1
4d54ce66eb93332f4ea08676fc8bca6b,3,20-May-2007 15:23:06,6,0.8470000000000001,1,1
4d54ce66eb93332f4ea08676fc8bca6b,3,20-May-2007 15:23:11,8,0.41100000000000003,1,1
4d54ce66eb93332f4ea08676fc8bca6b,3,20-May-2007 15:23:17,6,1.824,1,1
4d54ce66eb93332f4ea08676fc8bca6b,3,20-May-2007 15:23:22,8,0.48300000000000004,2,1
4d54ce66eb93332f4ea08676fc8bca6b,3,20-May-2007 15:23:26,4,0.703,1,1
4d54ce66eb93332f4ea08676fc8bca6b,3,20-May-2007 15:23:30,6,0.441,2,1
4d54ce66eb93332f4ea08676fc8bca6b,3,20-May-2007 15:23:34,4,0.454,1,1
4d54ce66eb93332f4ea08676fc8bca6b,3,20-May-2007 15:23:38,6,0.307,1,1
4d54ce66eb93332f4ea08676fc8bca6b,3,20-May-2007 15:23:43,8,0.41200000000000003,1,1
4d54ce66eb93332f4ea08676fc8bca6b,3,20-May-2007 15:23:47,6,0.466,2,1
4d54ce66eb93332f4ea08676fc8bca6b,3,20-May-2007 15:23:52,8,0.33099999999999996,1,1
4d54ce66eb93332f4ea08676fc8bca6b,3,20-May-2007 15:23:56,6,0.599,1,1
4d54ce66eb93332f4ea08676fc8bca6b,3,20-May-2007 15:24:00,4,0.554,2,1
4d54ce66eb93332f4ea08676fc8bca6b,3,20-May-2007 15:24:04,6,0.535,1,1
4d54ce66eb93332f4ea08676fc8bca6b,3,20-May-2007 15:24:09,8,0.37,2,1
4d54ce66eb93332f4ea08676fc8bca6b,3,20-May-2007 15:24:13,6,0.518,1,1
4d54ce66eb93332f4ea08676fc8bca6b,3,20-May-2007 15:24:18,8,0.556,1,1
4d54ce66eb93332f4ea08676fc8bca6b,3,20-May-2007 15:24:22,4,0.444,2,1
4d54ce66eb93332f4ea08676fc8bca6b,3,20-May-2007 15:24:27,8,0.733,2,1
75b213d7da4b6557b4305d91ec211abb,6,20-May-2007 15:35:18,6,1.456,1,1
75b213d7da4b6557b4305d91ec211abb,6,20-May-2007 15:35:24,8,1.4069999999999998,1,1
75b213d7da4b6557b4305d91ec211abb,6,20-May-2007 15:35:30,8,1.679,1,0
75b213d7da4b6557b4305d91ec211abb,6,20-May-2007 15:35:35,6,1.355,1,1
75b213d7da4b6557b4305d91ec211abb,6,20-May-2007 15:35:40,6,1.183,1,1
75b213d7da4b6557b4305d91ec211abb,6,20-May-2007 15:35:45,8,0.8290000000000001,1,1
75b213d7da4b6557b4305d91ec211abb,6,20-May-2007 15:35:50,4,1.07,2,1
75b213d7da4b6557b4305d91ec211abb,6,20-May-2007 15:35:54,4,1.44,2,1
75b213d7da4b6557b4305d91ec211abb,6,20-May-2007 15:35:59,6,0.6779999999999999,2,1
75b213d7da4b6557b4305d91ec211abb,6,20-May-2007 15:36:04,6,1.006,2,1
75b213d7da4b6557b4305d91ec211abb,6,20-May-2007 15:36:08,4,0.759,2,1
75b213d7da4b6557b4305d91ec211abb,6,20-May-2007 15:36:13,6,1.2409999999999999,1,1
75b213d7da4b6557b4305d91ec211abb,6,20-May-2007 15:36:18,8,0.749,1,1
75b213d7da4b6557b4305d91ec211abb,6,20-May-2007 15:36:22,4,0.69,2,1
75b213d7da4b6557b4305d91ec211abb,6,20-May-2007 15:36:28,8,1.2449999999999999,1,0
75b213d7da4b6557b4305d91ec211abb,6,20-May-2007 15:36:32,6,0.624,1,1
75b213d7da4b6557b4305d91ec211abb,6,20-May-2007 15:36:36,6,0.447,2,1
75b213d7da4b6557b4305d91ec211abb,6,20-May-2007 15:36:44,8,3.303,2,1
75b213d7da4b6557b4305d91ec211abb,6,20-May-2007 15:36:49,8,0.64,1,0
75b213d7da4b6557b4305d91ec211abb,6,20-May-2007 15:36:55,4,2.71,2,1
75b213d7da4b6557b4305d91ec211abb,6,20-May-2007 15:37:00,6,0.535,2,1
75b213d7da4b6557b4305d91ec211abb,6,20-May-2007 15:37:05,8,1.068,1,0
75b213d7da4b6557b4305d91ec211abb,6,20-May-2007 15:37:09,6,0.631,2,1
75b213d7da4b6557b4305d91ec211abb,6,20-May-2007 15:37:14,8,0.559,1,0
75b213d7da4b6557b4305d91ec211abb,6,20-May-2007 15:37:19,6,1.069,2,1
75b213d7da4b6557b4305d91ec211abb,6,20-May-2007 15:37:25,8,1.1580000000000001,1,0
75b213d7da4b6557b4305d91ec211abb,6,20-May-2007 15:37:29,6,0.537,2,1
75b213d7da4b6557b4305d91ec211abb,6,20-May-2007 15:37:34,6,1.291,1,1
75b213d7da4b6557b4305d91ec211abb,6,20-May-2007 15:37:40,4,2.327,2,1
75b213d7da4b6557b4305d91ec211abb,6,20-May-2007 15:37:45,8,0.554,1,0
4851f1c9e973005051141910bc8d3cf9,9,20-May-2007 11:57:28,8,0.6759999999999999,1,1
4851f1c9e973005051141910bc8d3cf9,9,20-May-2007 11:57:33,8,0.557,1,1
4851f1c9e973005051141910bc8d3cf9,9,20-May-2007 11:57:38,6,0.461,2,1
4851f1c9e973005051141910bc8d3cf9,9,20-May-2007 11:57:42,6,0.386,1,1
4851f1c9e973005051141910bc8d3cf9,9,20-May-2007 11:57:47,8,0.544,2,1
4851f1c9e973005051141910bc8d3cf9,9,20-May-2007 11:57:51,6,0.33899999999999997,1,1
4851f1c9e973005051141910bc8d3cf9,9,20-May-2007 11:57:55,6,0.494,1,1
4851f1c9e973005051141910bc8d3cf9,9,20-May-2007 11:58:00,8,0.359,1,1
4851f1c9e973005051141910bc8d3cf9,9,20-May-2007 11:58:05,4,0.887,1,0
4851f1c9e973005051141910bc8d3cf9,9,20-May-2007 11:58:09,8,0.457,2,1
4851f1c9e973005051141910bc8d3cf9,9,20-May-2007 11:58:14,6,0.5,2,0
4851f1c9e973005051141910bc8d3cf9,9,20-May-2007 11:58:20,8,2.162,2,1
4851f1c9e973005051141910bc8d3cf9,9,20-May-2007 11:58:25,8,0.33199999999999996,2,1
4851f1c9e973005051141910bc8d3cf9,9,20-May-2007 11:58:30,4,1.6780000000000002,1,0
4851f1c9e973005051141910bc8d3cf9,9,20-May-2007 11:58:35,8,0.322,1,1
4851f1c9e973005051141910bc8d3cf9,9,20-May-2007 11:58:39,4,1.173,1,1
4851f1c9e973005051141910bc8d3cf9,9,20-May-2007 11:58:44,6,0.379,1,1
4851f1c9e973005051141910bc8d3cf9,9,20-May-2007 11:58:49,8,0.48000000000000004,1,1
4851f1c9e973005051141910bc8d3cf9,9,20-May-2007 11:58:53,8,0.348,1,1
4851f1c9e973005051141910bc8d3cf9,9,20-May-2007 11:58:57,4,0.48700000000000004,1,1
4851f1c9e973005051141910bc8d3cf9,9,20-May-2007 11:59:02,4,1.889,2,1
4851f1c9e973005051141910bc8d3cf9,9,20-May-2007 11:59:07,6,0.639,1,1
4851f1c9e973005051141910bc8d3cf9,9,20-May-2007 11:59:11,4,0.7829999999999999,2,0
4851f1c9e973005051141910bc8d3cf9,9,20-May-2007 11:59:16,8,0.561,1,1
4851f1c9e973005051141910bc8d3cf9,9,20-May-2007 11:59:21,8,0.401,2,1
4851f1c9e973005051141910bc8d3cf9,9,20-May-2007 11:59:26,4,1.456,2,1
4851f1c9e973005051141910bc8d3cf9,9,20-May-2007 11:59:32,8,1.492,1,0
4851f1c9e973005051141910bc8d3cf9,9,20-May-2007 11:59:36,6,1.019,1,1
4851f1c9e973005051141910bc8d3cf9,9,20-May-2007 11:59:41,8,0.373,1,1
4851f1c9e973005051141910bc8d3cf9,9,20-May-2007 11:59:45,4,0.6659999999999999,1,1
ad0049fed7d0e5781ac8b7c23c9b1a5a,3,20-May-2007 11:02:53,8,1.75,1,1
ad0049fed7d0e5781ac8b7c23c9b1a5a,3,20-May-2007 11:03:16,4,19.701999999999998,1,0
ad0049fed7d0e5781ac8b7c23c9b1a5a,3,20-May-2007 11:03:21,6,0.5670000000000001,1,1
ad0049fed7d0e5781ac8b7c23c9b1a5a,3,20-May-2007 11:03:26,8,1.072,2,1
ad0049fed7d0e5781ac8b7c23c9b1a5a,3,20-May-2007 11:03:31,6,0.506,1,1
ad0049fed7d0e5781ac8b7c23c9b1a5a,3,20-May-2007 11:03:48,4,13.499,2,0
ad0049fed7d0e5781ac8b7c23c9b1a5a,3,20-May-2007 11:03:52,6,0.529,1,1
ad0049fed7d0e5781ac8b7c23c9b1a5a,3,20-May-2007 11:03:59,4,3.2159999999999997,2,1
ad0049fed7d0e5781ac8b7c23c9b1a5a,3,20-May-2007 11:04:04,6,0.77,1,1
ad0049fed7d0e5781ac8b7c23c9b1a5a,3,20-May-2007 11:04:08,8,0.323,1,1
ad0049fed7d0e5781ac8b7c23c9b1a5a,3,20-May-2007 11:04:13,6,0.447,2,1
ad0049fed7d0e5781ac8b7c23c9b1a5a,3,20-May-2007 11:04:17,4,1.028,1,1
ad0049fed7d0e5781ac8b7c23c9b1a5a,3,20-May-2007 11:04:22,6,0.48200000000000004,2,1
ad0049fed7d0e5781ac8b7c23c9b1a5a,3,20-May-2007 11:04:26,4,0.379,1,1
ad0049fed7d0e5781ac8b7c23c9b1a5a,3,20-May-2007 11:04:31,8,0.8360000000000001,2,1
ad0049fed7d0e5781ac8b7c23c9b1a5a,3,20-May-2007 11:05:02,4,27.217000000000002,1,1
ad0049fed7d0e5781ac8b7c23c9b1a5a,3,20-May-2007 11:05:06,6,0.16,2,1
ad0049fed7d0e5781ac8b7c23c9b1a5a,3,20-May-2007 11:05:11,8,0.552,2,1
ad0049fed7d0e5781ac8b7c23c9b1a5a,3,20-May-2007 11:05:15,6,0.325,2,1
ad0049fed7d0e5781ac8b7c23c9b1a5a,3,20-May-2007 11:05:53,4,34.252,1,0
ad0049fed7d0e5781ac8b7c23c9b1a5a,3,20-May-2007 11:05:58,8,0.8250000000000001,1,1
ad0049fed7d0e5781ac8b7c23c9b1a5a,3,20-May-2007 11:06:04,4,2.303,2,1
